Coefficients,GraphObservation,Dispersion,Scramble,Method,ErrCausal,ErrNonCausal
1,0,1,0,ERM,0.81683748960495,0.8176080584526062
1,0,1,0,ICP,1.0,0.9377349615097046
1,0,1,0,IRM,0.2625131607055664,0.3451959490776062
1,0,1,0,ERM,0.8155465126037598,0.8194521069526672
1,0,1,0,ICP,1.0,0.9362518191337585
1,0,1,0,IRM,0.26694434881210327,0.34659314155578613
1,0,1,0,ERM,0.8073641657829285,0.809107780456543
1,0,1,0,ICP,1.0,0.9347187876701355
1,0,1,0,IRM,0.24925999343395233,0.33997443318367004
1,0,1,0,ERM,0.8054779767990112,0.8113630414009094
1,0,1,0,ICP,1.0,0.0
1,0,1,0,IRM,0.26684069633483887,0.35098692774772644
1,0,1,0,ERM,0.8154228329658508,0.8103182911872864
1,0,1,0,ICP,1.0,0.9271562695503235
1,0,1,0,IRM,0.28026920557022095,0.3324275314807892
1,0,1,0,ERM,0.8090044856071472,0.8103592991828918
1,0,1,0,ICP,1.0,0.9292243719100952
1,0,1,0,IRM,0.2536119520664215,0.33627527952194214
1,0,1,0,ERM,0.8380179405212402,0.8284287452697754
1,0,1,0,ICP,1.0,0.9318353533744812
1,0,1,0,IRM,0.2797253727912903,0.3636106252670288
1,0,1,0,ERM,0.8058226704597473,0.8193944096565247
1,0,1,0,ICP,1.0,0.9424666166305542
1,0,1,0,IRM,0.2597982883453369,0.3414492905139923
1,0,1,0,ERM,0.8265771865844727,0.8261847496032715
1,0,1,0,ICP,1.0,0.9377490282058716
1,0,1,0,IRM,0.25466302037239075,0.33597075939178467
1,0,1,0,ERM,0.826128363609314,0.8192778825759888
1,0,1,0,ICP,1.0,0.9297889471054077
1,0,1,0,IRM,0.24631762504577637,0.3403603136539459
