iteration,reg,error,penalty
0,0,1281.637451171875,30657.533203125
50,0,742.3402099609375,10421.2626953125
100,0,522.0147094726562,4620.36474609375
150,0,414.99066162109375,2267.3310546875
200,0,350.3084716796875,1181.642333984375
250,0,305.1175842285156,659.5321044921875
300,0,271.60015869140625,392.9835510253906
350,0,246.2267608642578,246.36795043945312
400,0,226.7857666015625,160.15740966796875
450,0,211.70712280273438,106.81597900390625
500,0,199.85470581054688,72.56497955322266
550,0,190.41000366210938,49.97636413574219
600,0,182.78408813476562,34.79391860961914
650,0,176.5522003173828,24.45574188232422
700,0,171.40548706054688,17.357234954833984
750,0,167.11659240722656,12.4601469039917
800,0,163.516357421875,9.07550048828125
850,0,160.47694396972656,6.736932277679443
900,0,157.90032958984375,5.124363899230957
950,0,155.7103271484375,4.01611852645874
1000,0,153.8463897705078,3.257744312286377
1050,0,152.25973510742188,2.741415023803711
1100,0,150.91015625,2.3918566703796387
1150,0,149.76417541503906,2.156635284423828
1200,0,148.79324340820312,1.9993112087249756
1250,0,147.97276306152344,1.8946847915649414
1300,0,147.28134155273438,1.8254355192184448
1350,0,146.70021057128906,1.77970290184021
1400,0,146.21295166015625,1.749455213546753
1450,0,145.80496215820312,1.7292706966400146
1500,0,145.46348571777344,1.7155402898788452
1550,0,145.17726135253906,1.7058888673782349
1600,0,144.93667602539062,1.6987602710723877
1650,0,144.7332000732422,1.6931562423706055
1700,0,144.55960083007812,1.6884430646896362
1750,0,144.40968322753906,1.6842267513275146
1800,0,144.27847290039062,1.6802568435668945
1850,0,144.16143798828125,1.676391839981079
1900,0,144.05517578125,1.6725414991378784
1950,0,143.95657348632812,1.6686537265777588
2000,0,143.8634033203125,1.6646918058395386
2050,0,143.77438354492188,1.660651683807373
2100,0,143.68748474121094,1.6565141677856445
2150,0,143.60153198242188,1.6522791385650635
2200,0,143.51536560058594,1.6479331254959106
2250,0,143.42852783203125,1.6434776782989502
2300,0,143.3408660888672,1.6389148235321045
2350,0,143.25189208984375,1.6342350244522095
2400,0,143.16131591796875,1.629446268081665
2450,0,143.06881713867188,1.624537467956543
2500,0,142.97421264648438,1.6195127964019775
2550,0,142.87722778320312,1.6143687963485718
2600,0,142.77789306640625,1.6091047525405884
2650,0,142.67630004882812,1.6037181615829468
2700,0,142.57223510742188,1.598204493522644
2750,0,142.4653778076172,1.5925661325454712
2800,0,142.355712890625,1.5867971181869507
2850,0,142.24327087402344,1.580902099609375
2900,0,142.1282501220703,1.5748733282089233
2950,0,142.01065063476562,1.5687114000320435
3000,0,141.89028930664062,1.5624175071716309
3050,0,141.76669311523438,1.5559861660003662
3100,0,141.6402587890625,1.549416422843933
3150,0,141.51095581054688,1.5427087545394897
3200,0,141.3780517578125,1.5358587503433228
3250,0,141.2419891357422,1.528866171836853
3300,0,141.1030731201172,1.5217256546020508
3350,0,140.96109008789062,1.5144468545913696
3400,0,140.81561279296875,1.5070140361785889
3450,0,140.66668701171875,1.499437689781189
3500,0,140.51454162597656,1.4917067289352417
3550,0,140.35874938964844,1.4838279485702515
3600,0,140.19920349121094,1.4757928848266602
3650,0,140.0361328125,1.4676052331924438
3700,0,139.8695831298828,1.4592612981796265
3750,0,139.69937133789062,1.4507616758346558
3800,0,139.52545166015625,1.4421049356460571
3850,0,139.34776306152344,1.4332902431488037
3900,0,139.1658935546875,1.4243136644363403
3950,0,138.97991943359375,1.415177583694458
4000,0,138.79029846191406,1.4058786630630493
4050,0,138.59652709960938,1.396419644355774
4100,0,138.39862060546875,1.3867993354797363
4150,0,138.19677734375,1.3770148754119873
4200,0,137.99038696289062,1.367066740989685
4250,0,137.77955627441406,1.3569560050964355
4300,0,137.564697265625,1.3466795682907104
4350,0,137.34527587890625,1.3362420797348022
4400,0,137.1216278076172,1.3256391286849976
4450,0,136.89332580566406,1.3148754835128784
4500,0,136.66043090820312,1.3039454221725464
4550,0,136.4228515625,1.2928545475006104
4600,0,136.18043518066406,1.2816011905670166
4650,0,135.9337158203125,1.2701889276504517
4700,0,135.68222045898438,1.258617877960205
4750,0,135.42593383789062,1.2468841075897217
4800,0,135.16456604003906,1.23499596118927
4850,0,134.89834594726562,1.2229503393173218
4900,0,134.62734985351562,1.210753083229065
4950,0,134.35130310058594,1.198405146598816
5000,0,134.07049560546875,1.185904860496521
5050,0,133.78453063964844,1.1732566356658936
5100,0,133.4933624267578,1.1604647636413574
5150,0,133.1970672607422,1.1475294828414917
5200,0,132.89593505859375,1.1344563961029053
5250,0,132.5894775390625,1.1212447881698608
5300,0,132.2781219482422,1.1079031229019165
5350,0,131.96145629882812,1.0944329500198364
5400,0,131.63941955566406,1.0808359384536743
5450,0,131.3123779296875,1.0671147108078003
5500,0,130.98008728027344,1.0532824993133545
5550,0,130.64276123046875,1.0393357276916504
5600,0,130.3000946044922,1.025280475616455
5650,0,129.95245361328125,1.0111249685287476
5700,0,129.599365234375,0.9968712329864502
5750,0,129.24111938476562,0.9825252294540405
5800,0,128.87771606445312,0.9680930972099304
5850,0,128.50924682617188,0.9535806775093079
5900,0,128.1356964111328,0.938995361328125
5950,0,127.75702667236328,0.9243412613868713
6000,0,127.3733901977539,0.9096278548240662
6050,0,126.98460388183594,0.8948565125465393
6100,0,126.59064483642578,0.8800395131111145
6150,0,126.19188690185547,0.865182101726532
6200,0,125.78816986083984,0.8502926826477051
6250,0,125.37971496582031,0.8353775143623352
6300,0,124.9663314819336,0.8204433917999268
6350,0,124.54817199707031,0.8055015802383423
6400,0,124.12539672851562,0.7905579209327698
6450,0,123.69793701171875,0.7756202220916748
6500,0,123.26591491699219,0.7606986165046692
6550,0,122.82931518554688,0.7457987070083618
6600,0,122.3882827758789,0.7309296727180481
6650,0,121.94269561767578,0.716101884841919
6700,0,121.49282836914062,0.7013232111930847
6750,0,121.03887176513672,0.686601996421814
6800,0,120.58059692382812,0.6719470620155334
6850,0,120.11834716796875,0.6573681235313416
6900,0,119.65202331542969,0.6428729295730591
6950,0,119.1817626953125,0.6284714341163635
7000,0,118.70777130126953,0.614170491695404
7050,0,118.22993469238281,0.599981427192688
7100,0,117.7485122680664,0.5859110951423645
7150,0,117.26344299316406,0.5719675421714783
7200,0,116.77496337890625,0.5581614971160889
7250,0,116.28303527832031,0.5444982647895813
7300,0,115.7878189086914,0.5309883952140808
