Coefficients,GraphObservation,Dispersion,Scramble,Method,ErrCausal,ErrNonCausal
1,1,1,1,IRM,0.6024516224861145,0.7441114187240601
1,1,1,1,IRM,0.5336280465126038,0.726502537727356
1,1,1,1,IRM,0.5714823603630066,0.6915286183357239
1,1,1,1,IRM,0.5772143602371216,0.7315307259559631
1,1,1,1,IRM,0.5977007150650024,0.7170011401176453
1,1,1,1,IRM,0.5904351472854614,0.7287956476211548
1,1,1,1,IRM,0.5735771656036377,0.6997075080871582
1,1,1,1,IRM,0.6223974227905273,0.7361174821853638
1,1,1,1,IRM,0.5938950777053833,0.7286185026168823
1,1,1,1,IRM,0.601577877998352,0.7089042067527771
